GO:0034359	mature chylomicron
GO:0034358	plasma lipoprotein particle
GO:0005592	collagen type XI trimer
GO:0035770	ribonucleoprotein granule
GO:0017109	glutamate-cysteine ligase complex
GO:0005590	collagen type VII trimer
GO:0005838	proteasome regulatory particle
GO:0005839	proteasome core complex
GO:0005834	heterotrimeric G-protein complex
GO:1990665	AnxA2-p11 complex
GO:0005832	chaperonin-containing T-complex
GO:0030127	COPII vesicle coat
GO:0016513	core-binding factor complex
GO:0034518	RNA cap binding complex
GO:0030124	AP-4 adaptor complex
GO:0016514	SWI/SNF complex
GO:0030125	clathrin vesicle coat
GO:0034515	proteasome storage granule
GO:0017177	glucosidase II complex
GO:0031105	septin complex
GO:0030142	COPI-coated Golgi to ER transport vesicle
GO:1990131	Gtr1-Gtr2 GTPase complex
GO:1990130	GATOR1 complex
GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex
GO:0034777	recycling endosome lumen
GO:0034774	secretory granule lumen
GO:0097486	multivesicular body lumen
GO:0005952	cAMP-dependent protein kinase complex
GO:0005956	protein kinase CK2 complex
GO:0005955	calcineurin complex
GO:0005954	calcium- and calmodulin-dependent protein kinase complex
GO:0120259	7SK snRNP
GO:0097179	protease inhibitor complex
GO:1990221	L-cysteine desulfurase complex
GO:0046658	anchored component of plasma membrane
GO:0120135	distal portion of axoneme
GO:1990590	ATF1-ATF4 transcription factor complex
GO:1990597	AIP1-IRE1 complex
GO:0042555	MCM complex
GO:0005715	late recombination nodule
GO:0005713	recombination nodule
GO:0005712	chiasma
GO:0097550	transcription preinitiation complex
GO:0031259	uropod membrane
GO:0031258	lamellipodium membrane
GO:0031256	leading edge membrane
GO:0031253	cell projection membrane
GO:0031252	cell leading edge
GO:0031251	PAN complex
GO:1990047	spindle matrix
GO:0036457	keratohyalin granule
GO:0030677	ribonuclease P complex
GO:0030672	synaptic vesicle membrane
GO:0030673	axolemma
GO:0030670	phagocytic vesicle membrane
GO:0030678	mitochondrial ribonuclease P complex
GO:0097447	dendritic tree
GO:0008021	synaptic vesicle
GO:0008023	transcription elongation factor complex
GO:0008024	cyclin/CDK positive transcription elongation factor complex
GO:0044815	DNA packaging complex
GO:0031499	TRAMP complex
GO:0005833	hemoglobin complex
GO:0010008	endosome membrane
GO:0042721	TIM22 mitochondrial import inner membrane insertion complex
GO:0042720	mitochondrial inner membrane peptidase complex
GO:0099738	cell cortex region
GO:0008287	protein serine/threonine phosphatase complex
GO:0008282	inward rectifying potassium channel
GO:0001650	fibrillar center
GO:0001651	dense fibrillar component
GO:0001652	granular component
GO:0090636	outer dense plaque of desmosome
GO:0090637	inner dense plaque of desmosome
GO:0140284	endoplasmic reticulum-endosome membrane contact site
GO:0032281	AMPA glutamate receptor complex
GO:0032280	symmetric synapse
GO:0008352	katanin complex
GO:0099060	integral component of postsynaptic specialization membrane
GO:0099061	integral component of postsynaptic density membrane
GO:0099066	integral component of neuronal dense core vesicle membrane
GO:1990851	Wnt-Frizzled-LRP5/6 complex
GO:0001725	stress fiber
GO:0001726	ruffle
GO:0070062	extracellular exosome
GO:0045281	succinate dehydrogenase complex
GO:0070083	clathrin-sculpted monoamine transport vesicle membrane
GO:1905103	integral component of lysosomal membrane
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000835	ER ubiquitin ligase complex
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
GO:0033596	TSC1-TSC2 complex
GO:0150034	distal axon
GO:0097489	multivesicular body, internal vesicle lumen
GO:0005953	CAAX-protein geranylgeranyltransferase complex
GO:0097487	multivesicular body, internal vesicle
GO:0071682	endocytic vesicle lumen
GO:0019185	snRNA-activating protein complex
GO:0070531	BRCA1-A complex
GO:0035838	growing cell tip
GO:0032133	chromosome passenger complex
GO:0071339	MLL1 complex
GO:0034360	chylomicron remnant
GO:0034361	very-low-density lipoprotein particle
GO:0034362	low-density lipoprotein particle
GO:0034363	intermediate-density lipoprotein particle
GO:0034364	high-density lipoprotein particle
GO:0034365	discoidal high-density lipoprotein particle
GO:0034366	spherical high-density lipoprotein particle
GO:0070176	DRM complex
GO:0033391	chromatoid body
GO:1903958	nitric-oxide synthase complex
GO:0005827	polar microtubule
GO:0005826	actomyosin contractile ring
GO:0005829	cytosol
GO:0005828	kinetochore microtubule
GO:0030849	autosome
GO:0071750	dimeric IgA immunoglobulin complex
GO:0071203	WASH complex
GO:0071204	histone pre-mRNA 3'end processing complex
GO:0071757	hexameric IgM immunoglobulin complex
GO:1990452	Parkin-FBXW7-Cul1 ubiquitin ligase complex
GO:1990454	L-type voltage-gated calcium channel complex
GO:0034706	sodium channel complex
GO:0034707	chloride channel complex
GO:0034704	calcium channel complex
GO:0034705	potassium channel complex
GO:0034702	ion channel complex
GO:0034703	cation channel complex
GO:0030289	protein phosphatase 4 complex
GO:0005929	cilium
GO:0030286	dynein complex
GO:0030285	integral component of synaptic vesicle membrane
GO:0005925	focal adhesion
GO:0005922	connexin complex
GO:0005923	bicellular tight junction
GO:0034708	methyltransferase complex
GO:0034709	methylosome
GO:0097169	AIM2 inflammasome complex
GO:0097165	nuclear stress granule
GO:0043625	delta DNA polymerase complex
GO:0044530	supraspliceosomal complex
GO:0016363	nuclear matrix
GO:0098562	cytoplasmic side of membrane
