C0220597	Adult Hodgkin Lymphoma
C0520716	Pallidopontonigral degeneration
C3805143	Non-transfusion dependent thalassaemia
C0021051	Immunologic Deficiency Syndromes
C1838604	EPILEPSY, CHILDHOOD ABSENCE, 1
C1838601	Retinitis Pigmentosa 11
C1838603	Retinitis Pigmentosa 14
C2931404	Albright's hereditary osteodystrophy
C0334464	Pigmented Dermatofibrosarcoma Protuberans (Bednar Tumor)
C0334467	Fibrolipoma
C0334460	Elastofibroma
C0334463	Malignant Fibrous Histiocytoma
C3151204	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 16
C1837406	Hypoplasia involving bones of the upper limbs
C1837407	Ankle contracture
C1837404	High, narrow palate
C1837402	Flat occiput
C4087190	Sulcus vocalis
C4087191	Paravalvular aortic regurgitation
C2675066	Lymphedema-Distichiasis Syndrome with Renal Disease and Diabetes Mellitus
C3826743	Anemia in children
C4304725	Leber plus disease
C1334386	Meningeal melanoma
C0271051	Macular retinal edema
C0271055	Rhegmatogenous retinal detachment
C3276821	Thin glomerular basement membrane
C0342569	Carcinoid crisis
C4748898	TRICHOHEPATONEURODEVELOPMENTAL SYNDROME
C1963763	Failed Back Surgery Syndrome
C4042834	Compassion Fatigue
C1963768	Glycogenic acanthosis
C1847319	PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA
C0031192	Persistent Ostium Primum
C0031190	Persistent Fetal Circulation Syndrome
C0003621	Appetite Disorders
C4321446	K ATP Permanent Neonatal Diabetes
C0678202	Regional enteritis
C0678201	Terminal Ileitis
C0030824	Allergy to penicillin
C2939096	Pulmonary sensitisation
C2939094	Skin sensitisation
C4012410	Enlarged ventricles (in some patients)
C0268149	Glycogen storage disease type X
C0268140	Xeroderma pigmentosum, group F
C0268141	Xeroderma pigmentosum, group G
C0268146	Glucose-6-phosphate transport defect
C0268147	Glycogen storage disease, type IX
C2585960	Heterozygous protein C deficiency
C3669212	Progressive retinal atrophy
C4024742	Aplasia/Hypoplasia of the macula
C1300257	Thanatophoric dysplasia, type 2
C4024745	Aplasia/Hypoplasia affecting the eye
C4024748	Aplasia/Hypoplasia of the iris
C0265677	Congenital hemivertebra
C0265673	Congenital kyphosis
C2931401	Long QT syndrome type 3
C2677576	RECOMBINATION RATE QUANTITATIVE TRAIT LOCUS 1
C1306162	Kidney replacement disorder
C3887948	HUMAN PAPILLOMAVIRUS TYPE 18 INTEGRATION SITE 2
C3887949	Apparent mineralocorticoid excess
C3887947	HUMAN PAPILLOMAVIRUS TYPE 18 INTEGRATION SITE 1
C3887942	GLAUCOMA 1, OPEN ANGLE, B
C0578022	Finding of body mass index
C4551642	Stage 0is Bladder Urothelial Carcinoma AJCC v6 and v7
C4551647	Long QT Syndrome 1
C4087197	Ectopic posterior pituitary gland
C4551649	Congenital Dysplasia Of The Hip
C4087194	Sensory processing disorder
C1336839	Type 1 Papillary Renal Cell Carcinoma
C3554540	LYMPHOPROLIFERATIVE SYNDROME 2
C4022591	Fatigable weakness of bulbar muscles
C4022595	Tetraplegia/tetraparesis
C3151295	HYPOMAGNESEMIA 6, RENAL
C0266009	Congenital absence of breast
C4024297	Abnormality of the hairline
C4554166	Hepatic Necrosis, CTCAE 5.0
C4024295	Hypoplasia of the pharynx
C1854416	MACROCEPHALY/AUTISM SYNDROME
C1854417	Postnatal macrocephaly
C1854414	Deafness, Autosomal Recessive 10
C1854418	Biparietal narrowing
C1504568	Stenosis of middle cerebral artery
C4023249	Patent ductus arteriosus after birth at term
C4749304	Monosomy 13q14 syndrome
C4749302	Maternal uniparental disomy of chromosome 1
C0030319	Panic Disorder
C0266092	Congenital lip pits
C0030312	Pancytopenia
C0686619	Secondary malignant neoplasm of lymph node
C0340231	Tracheobronchomalacia
C0563211	Carcinoma of anal canal
C0024449	Mycetoma
C0340238	Infectious disorder of bronchus
C0024441	Macular Holes
C0024440	Macular Edema, Cystoid
C0155943	Arthralgia of temporomandibular joint
C0153045	Herpes simplex meningitis
C1843542	T-CELL PROLYMPHOCYTIC LEUKEMIA, SOMATIC
C1970816	Hypoplastic sacrum
C0026351	Moderate intellectual disability
C0424678	Lean body mass
C0266324	Congenital dilatation of ureter
C0266320	Impervious ureter
C0037090	Signs and Symptoms, Respiratory
C3809624	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 18
C0041296	Tuberculosis
C0041295	Tuberculoma
C2673654	Rhizo-meso-acromelic limb shortening
C4025167	Abnormal vertebral segmentation and fusion
C4025165	Cutaneous syndactyly between fingers 2 and 5
C4025164	Cortical sclerosis
C4025162	Multiple digital exostoses
C4025161	Positional foot deformity
C0263314	Pemphigus and fogo selvagem
C0263316	Pemphigus vegetans
C0263313	Pemphigus Foliaceus
C1960447	Hypergonadotropic amenorrhea
C1960443	Vasculitic neuropathy
C4750288	Spinal muscular atrophy with lower extremity predominance
C0852667	Vulval cancer metastatic
C2751842	PARKINSON DISEASE 14, AUTOSOMAL RECESSIVE
C0398648	Posttransfusion purpura
C0856561	Opium addiction
C0398642	Montreal platelet syndrome
C0398641	Epstein syndrome (disorder)
C0027404	Narcolepsy
C2012072	Glassy cell carcinoma of the cervix
C0027401	Narcissism
C4023126	Abnormal activity of mitochondrial respiratory chain
C0836971	Acute promyelocytic leukemia, in remission
C0347272	Benign neoplasm of large intestine
C1335710	Recurrent Malignant Peripheral Nerve Sheath Tumor
C1335713	Recurrent Meningioma
C1335712	Recurrent Medulloblastoma
C0032310	Pneumonia, Viral
C3828464	Proneural Glioblastoma
C0033958	Psychosis, Brief Reactive
C0017086	Gangrene
C0033953	Psychosexual Disorders
C0747556	Recurrent pharyngitis
C0153453	Malignant tumor of extrahepatic bile duct
C0153452	Malignant neoplasm of gallbladder
C0240327	Taste, Metallic
C0153459	Malignant neoplasm of body of pancreas
C0153458	malignant neoplasm of head of pancreas
C0398597	Histiocytic syndrome
C4024832	Hypoproteinemic edema
C3277753	Deep-set nails
C3277750	Absent middle phalanx of 5th finger
C4021661	Abnormal macrophage morphology
C4021662	Abnormal endocardium morphology
C4021663	Abnormality of muscle fibers
C4021664	Abnormality of the abdominal wall
C3279800	KEPPEN-LUBINSKY SYNDROME
C1864861	Tumoral Calcinosis, Normophosphatemic, Familial
C4073188	Abnormality of the somatic nervous system
C3279807	CRANIOECTODERMAL DYSPLASIA 3
C2712360	Severe hypoxic ischemic encephalopathy
C0206682	Follicular thyroid carcinoma
C0206681	Adenocarcinoma, Clear Cell
C0206680	Mesothelioma, Cystic
C0206687	Carcinoma, Endometrioid
C0206686	Adrenocortical carcinoma
C0206685	Acinar Cell Carcinoma
C0206684	Sebaceous Adenocarcinoma
C0855036	Alveolar soft part sarcoma metastatic
C1850889	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2B
C3694279	Middle East Respiratory Syndrome
C3548805	response to aromatase inhibitor
C3548801	response to irinotecan
C0600228	Cardiopulmonary Arrest
C0221745	Depression suicidal
C0154157	Postoperative hypothyroidism
C3494248	Organothiophosphate Poisoning
C3494247	Organothiophosphonate Poisoning
C1848934	SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME
C0494360	Lipodystrophy, not elsewhere classified
C1395512	Placental dysfunction
C4524038	Thoracic myelopathy
C2242589	Coronaropathy
C0011904	Diagnostic Techniques, Cardiovascular
C1968619	Renal corticomedullary cysts
C2242586	Aortic intramural haematoma
C2242585	Interstitial granulomatous dermatitis
C0016024	Fibroadenosis
C0749474	thyroid nodule solitary
C0745150	Hypoglycemia, acute
C0393778	Congenital anosmia
C1865409	Amyotrophic Lateral Sclerosis 4, Juvenile
C0865171	parathyroiditis
C0393770	Delayed Sleep Phase Syndrome
C1096691	BK virus infection
C1862839	Anterior segment mesenchymal dysgenesis
C1720470	Follicular carcinoma, widely invasive
C0281784	Benign Meningioma
C4511324	Hypnotic withdrawal
C1707390	Chondroid Hamartoma
C0751356	Idiopathic Inflammatory Myopathies
C0751357	Myositis, Focal
C0751354	Myoclonus, Action
C0751355	Polymyoclonus
C0431603	Ectopic liver
