C0220597	Adult Hodgkin Lymphoma
C3805412	CATARACT 41
C1840333	Barakat syndrome
C3805410	CATARACT 20, MULTIPLE TYPES
C3805411	CATARACT 30
C1855179	CATARACT, ANTERIOR POLAR
C1848651	Al Awadi syndrome
C3148751	DEAFNESS, AUTOSOMAL DOMINANT, WITH PERIPHERAL NEUROPATHY
C2676281	DYSTONIA 17, TORSION, AUTOSOMAL RECESSIVE (disorder)
C3150596	MONONEUROPATHY OF THE MEDIAN NERVE, MILD
C1838604	EPILEPSY, CHILDHOOD ABSENCE, 1
C1838601	Retinitis Pigmentosa 11
C1838603	Retinitis Pigmentosa 14
C4014449	SPERMATOGENIC FAILURE 13
C2931404	Albright's hereditary osteodystrophy
C0334464	Pigmented Dermatofibrosarcoma Protuberans (Bednar Tumor)
C4316870	Abnormality of the eye
C1847532	MYOPATHY, DISTAL, WITH ANTERIOR TIBIAL ONSET
C2931401	Long QT syndrome type 3
C3151204	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 16
C0013170	Drug habituation
C0232347	No-Reflow Phenomenon
C2675066	Lymphedema-Distichiasis Syndrome with Renal Disease and Diabetes Mellitus
C1565886	Indirect Hyperbilirubinemia, Neonatal
C1565887	Newborn physiological jaundice
C0342783	Deficiency of butyryl-CoA dehydrogenase
C1565885	Direct Hyperbilirubinemia, Neonatal
C4521075	Childhood Overweight
C4014440	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 8
C1845861	MENTAL RETARDATION, X-LINKED, WITH SHORT STATURE, HYPOGONADISM, AND ABNORMAL GAIT
C1833541	Caroli disease isolated
C4479552	46,XX SEX REVERSAL 4
C1844887	Catel Manzke syndrome
C0393929	Familial infantile myasthenia
C0852077	Blood Coagulation Disorders, Inherited
C1865639	Gracile bone dysplasia
C0271051	Macular retinal edema
C0027659	Neoplasms, Experimental
C0027658	Neoplasms, Germ Cell and Embryonal
C0027651	Neoplasms
C1328349	Neuropathy ataxia and retinis pigmentosa
C0027654	Embryonal Neoplasm
C4048705	Hypermethioninemia
C4748898	TRICHOHEPATONEURODEVELOPMENTAL SYNDROME
C0393699	Symptomatic Infantile Spasms
C0393698	Cryptogenic Infantile Spasms
C2751325	46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy
C0393691	Occipital Lobe Epilepsy
C0393693	Benign Neonatal Epilepsy, Nonfamilial
C0393695	Early Childhood Epilepsy, Myoclonic
C1864689	MICROPHTHALMIA, SYNDROMIC 6 (disorder)
C1847319	PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA
C0031192	Persistent Ostium Primum
C0031190	Persistent Fetal Circulation Syndrome
C0003621	Appetite Disorders
C1847640	KUFOR-RAKEB SYNDROME
C1866810	ELLIPTOCYTOSIS 3
C0678202	Regional enteritis
C1855284	Intrahepatic biliary atresia
C1850671	Myosclerosis, Autosomal Recessive
C1850674	MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA (disorder)
C1533587	Hydroxymethylglutaric aciduria
C0085183	Neoplasms, Second Primary
C1856738	Fibular hypoplasia and complex brachydactyly
C1851102	Fibrosis Of Extraocular Muscles, Congenital, 1
C1851101	Laurin-Sandrow Syndrome, Segmental
C1851100	LAURIN-SANDROW SYNDROME
C1856730	Short bowed radii
C2713392	Phosphatidylinositol 4,5-Bisphosphate 5-Phosphatase Deficiency
C0268149	Glycogen storage disease type X
C2713394	Haim-Monk Syndrome
C0020564	Hypertrophy
C0268141	Xeroderma pigmentosum, group G
C0268146	Glucose-6-phosphate transport defect
C4479640	GAZE PALSY, FAMILIAL HORIZONTAL, WITH PROGRESSIVE SCOLIOSIS, 2
C4319932	BARDET-BIEDL SYNDROME 21
C4479313	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 53
C4479319	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 54
C1839735	MILES-CARPENTER X-LINKED MENTAL RETARDATION SYNDROME
C0154091	Carcinoma in situ of bladder
C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY
C1449718	Endocrine Breast Diseases
C1300257	Thanatophoric dysplasia, type 2
C0795915	Winter Shortland Temple syndrome
C0795917	Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type
C0795910	COWCHOCK SYNDROME
C1838608	Radial aplasia
C0002994	Angioedema
C3887948	HUMAN PAPILLOMAVIRUS TYPE 18 INTEGRATION SITE 2
C3887949	Apparent mineralocorticoid excess
C3887947	HUMAN PAPILLOMAVIRUS TYPE 18 INTEGRATION SITE 1
C1863557	Young Simpson syndrome
C1863551	HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, 3
C0030472	Paraneoplastic Syndromes
C4551647	Long QT Syndrome 1
C4014848	NANOPHTHALMOS 4
C2674504	Palmoplantar Hyperkeratosis And True Hermaphroditism
C1336839	Type 1 Papillary Renal Cell Carcinoma
C3554540	LYMPHOPROLIFERATIVE SYNDROME 2
C1859330	Cardiac Valvular Defect, Developmental
C3554018	SINOATRIAL NODE DYSFUNCTION AND DEAFNESS
C3151293	CARDIOMYOPATHY, DILATED, 1HH
C0342788	Renal carnitine transport defect
C3889636	SPINOCEREBELLAR ATAXIA 37
C1970107	ATAXIA, SPASTIC, 1, AUTOSOMAL DOMINANT
C1970106	Bpes, Type I, Autosomal Recessive
C1854416	MACROCEPHALY/AUTISM SYNDROME
C1970109	AROMATASE EXCESS SYNDROME
C1864827	HOLOPROSENCEPHALY 5
C1292769	Precursor B-cell lymphoblastic leukemia
C0750986	Internal Carotid Artery Diseases
C0030319	Panic Disorder
C0750988	Common Carotid Artery Thrombosis
C0750989	External Carotid Artery Thrombosis
