bioplanet_25	BAD phosphorylation regulation
bioplanet_24	Hypoxia and p53 in the cardiovascular system
bioplanet_27	BAD phosphorylation mediated by IGF1R signaling
bioplanet_26	D4-GDI signaling pathway
bioplanet_21	Nicotinic acetylcholine receptor role in the regulation of apoptosis
bioplanet_20	Stress induction of HSP regulation
bioplanet_23	Rb tumor suppressor/checkpoint signaling in response to DNA damage
bioplanet_22	PTEN-dependent cell cycle arrest and apoptosis
bioplanet_29	TSP1-induced apoptosis in microvascular endothelial cell
bioplanet_28	SODD/TNFR1 signaling pathway
bioplanet_1671	HIF-1 degradation in normoxia
bioplanet_1670	Fibroblast growth factor receptor pathway
bioplanet_1673	PI3K class IB pathway in neutrophils
bioplanet_1672	PI3K class IB pathway
bioplanet_1675	Interleukin-1 signaling pathway
bioplanet_1674	Cell differentiation by G alpha (i/o) pathway inferred from mouse Neuro2A model
bioplanet_1676	Interleukin-1-beta (IL-1b) processing pathway
bioplanet_1679	G alpha s pathway
bioplanet_1678	PI3K pathway
bioplanet_1514	Cyclin D-associated events in G1
bioplanet_1515	Down syndrome cell adhesion molecule (DSCAM) interactions
bioplanet_1516	Opening of calcium channels triggered by depolarization of the presynaptic terminal
bioplanet_1517	Developmental biology
bioplanet_1510	Cross-presentation of particulate exogenous antigens (phagosomes)
bioplanet_1511	Cyclin A/B1-associated events during G2/M transition
bioplanet_1512	ATP-sensitive potassium channels
bioplanet_1513	Cyclin B2-mediated events
bioplanet_1518	Diabetes pathways
bioplanet_1519	Disinhibition of SNARE formation
bioplanet_1460	Terminal pathway of complement
bioplanet_1461	AIM2 inflammasome
bioplanet_1462	NLRP1 inflammasome
bioplanet_1463	Arylsulfatase activation
bioplanet_1464	Toll receptor cascades
bioplanet_1465	Toll-like receptor endosomal trafficking and processing
bioplanet_1466	GluR2-containing AMPA receptor trafficking
bioplanet_1467	Transcription
bioplanet_1468	Mitochondrial promoter transcription
bioplanet_1469	HIV genome transcription
bioplanet_808	Carbohydrate metabolism
bioplanet_809	Folate and pterine metabolism
bioplanet_804	Tetrasaccharide linker sequence formation in glycosaminoglycan biosynthesis
bioplanet_805	Association of TriC/CCT with target proteins during biosynthesis
bioplanet_807	Amino acid metabolism
bioplanet_800	Post-translational modification: biosynthesis of GPI-anchored proteins
bioplanet_801	Respiratory electron transport
bioplanet_802	Purine ribonucleoside monophosphate biosynthesis
bioplanet_803	Reactions specific to the complex N-glycan biosynthesis pathway
bioplanet_1086	Proton-coupled monocarboxylate transport
bioplanet_1087	Organic cation/anion/zwitterion transport
bioplanet_1084	SLC-mediated transmembrane transport
bioplanet_1085	Sodium-coupled phosphate cotransporters
bioplanet_1082	Proton/oligonucleotide cotransporters
bioplanet_1083	Cation-coupled chloride cotransporters
bioplanet_1080	Ligand-gated ion channel transport
bioplanet_1081	Sodium/calcium exchangers
bioplanet_1088	SLC26 family multifunctional anion exchangers
bioplanet_1089	Amino acid and oligopeptide SLC transporters
bioplanet_1248	Glucagon-type ligand receptors
bioplanet_1249	Hormone ligand-binding G-protein coupled receptors
bioplanet_1240	FGFR3b ligand binding and activation
bioplanet_1241	FGFR4 ligand binding and activation
bioplanet_1242	FRS2-mediated cascade
bioplanet_1243	Formyl peptide interaction with formyl peptide receptors
bioplanet_1244	Free fatty acid G-protein coupled receptors
bioplanet_1245	FRS2-mediated activation
bioplanet_1246	G-protein-mediated events
bioplanet_1247	GPCR ligand binding
bioplanet_248	Double stranded RNA-induced gene expression
bioplanet_249	E2F1 destruction pathway
bioplanet_242	Polyadenylation of mRNA
bioplanet_243	Internal ribosome entry pathway
bioplanet_240	SUMOylation as a mechanism to modulate CtBP-dependent gene responses
bioplanet_241	Antisense RNA pathway
bioplanet_246	Transcriptional activity regulation by PML
bioplanet_247	PPAR-gamma coactivator role in obesity and thermogenesis
bioplanet_244	Downregulation of MTA-3 in ER-negative breast tumors
bioplanet_488	Estrogen receptor signaling pathway
bioplanet_489	Antigen-activated B-cell receptor generation of second messengers
bioplanet_480	Phototransduction
bioplanet_481	Notch signaling pathway
bioplanet_482	Fanconi anemia pathway
bioplanet_483	Nucleotide excision repair
bioplanet_484	Tryptophan metabolism
bioplanet_485	Sphingolipid metabolism
bioplanet_486	Fatty acid biosynthesis
bioplanet_487	Prolactin activation of MAPK signaling
bioplanet_664	Interferon-gamma signaling pathway
bioplanet_666	p75 neurotrophin receptor-mediated signaling
bioplanet_660	Death receptor signaling
bioplanet_661	G alpha (12/13) signaling events
bioplanet_662	Polo-like kinase signaling events in the cell cycle
bioplanet_663	CTLA4 inhibitory signaling
bioplanet_668	TGF-beta receptor activation of SMADs
