GO:0004866	endopeptidase inhibitor activity
GO:0005231	excitatory extracellular ligand-gated ion channel activity
GO:0017089	glycolipid transfer activity
GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0034604	pyruvate dehydrogenase (NAD+) activity
GO:0061731	ribonucleoside-diphosphate reductase activity
GO:0034602	oxoglutarate dehydrogenase (NAD+) activity
GO:0061733	peptide-lysine-N-acetyltransferase activity
GO:0047127	thiomorpholine-carboxylate dehydrogenase activity
GO:0070991	medium-chain-acyl-CoA dehydrogenase activity
GO:0031708	endothelin B receptor binding
GO:0047685	amine sulfotransferase activity
GO:0034191	apolipoprotein A-I receptor binding
GO:0034190	apolipoprotein receptor binding
GO:0008649	rRNA methyltransferase activity
GO:0051499	D-aminoacyl-tRNA deacylase activity
GO:0004638	phosphoribosylaminoimidazole carboxylase activity
GO:0019992	diacylglycerol binding
GO:0004814	arginine-tRNA ligase activity
GO:0016517	interleukin-12 receptor activity
GO:0047225	acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
GO:0034513	box H/ACA snoRNA binding
GO:0045703	ketoreductase activity
GO:0034511	U3 snoRNA binding
GO:0015378	sodium
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity
GO:0106326	acetylgalactosaminyl-O-glycosyl-threonyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
GO:0017174	glycine N-methyltransferase activity
GO:0017172	cysteine dioxygenase activity
GO:0050124	N-acylneuraminate-9-phosphatase activity
GO:0017171	serine hydrolase activity
GO:0035368	selenocysteine insertion sequence binding
GO:1990136	linoleate 9S-lipoxygenase activity
GO:0001067	regulatory region nucleic acid binding
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0017178	diphthine-ammonia ligase activity
GO:0061730	C-rich strand telomeric DNA binding
GO:0030298	receptor signaling protein tyrosine kinase activator activity
GO:0050833	pyruvate transmembrane transporter activity
GO:0016015	morphogen activity
GO:0034353	RNA pyrophosphohydrolase activity
GO:0004146	dihydrofolate reductase activity
GO:0140603	ATP hydrolysis activity
GO:0030292	protein tyrosine kinase inhibitor activity
GO:0050839	cell adhesion molecule binding
GO:0030294	receptor signaling protein tyrosine kinase inhibitor activity
GO:0030295	protein kinase activator activity
GO:0030296	protein tyrosine kinase activator activity
GO:0030297	transmembrane receptor protein tyrosine kinase activator activity
GO:0004632	phosphopantothenate--cysteine ligase activity
GO:0001223	transcription coactivator binding
GO:0042030	ATPase inhibitor activity
GO:0050421	nitrite reductase (NO-forming) activity
GO:0097177	mitochondrial ribosome binding
GO:0046625	sphingolipid binding
GO:0004517	nitric-oxide synthase activity
GO:0004142	diacylglycerol cholinephosphotransferase activity
GO:0030492	hemoglobin binding
GO:0051787	misfolded protein binding
GO:0051786	all-trans-retinol 13,14-reductase activity
GO:0004339	glucan 1,4-alpha-glucosidase activity
GO:0016874	ligase activity
GO:0031812	P2Y1 nucleotide receptor binding
GO:0017002	activin-activated receptor activity
GO:0031072	heat shock protein binding
GO:0031071	cysteine desulfurase activity
GO:0017005	3'-tyrosyl-DNA phosphodiesterase activity
GO:0046659	digestive hormone activity
GO:0050785	advanced glycation end-product receptor activity
GO:0050786	RAGE receptor binding
GO:0050780	dopamine receptor binding
GO:0106328	acetylgalactosaminyl-O-glycosyl-seryl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity
GO:0035004	phosphatidylinositol 3-kinase activity
GO:1990226	histone methyltransferase binding
GO:0005484	SNAP receptor activity
GO:1990599	3' overhang single-stranded DNA endodeoxyribonuclease activity
GO:0106329	L-phenylalaine oxidase activity
GO:0061649	ubiquitin modification-dependent histone binding
GO:0097677	STAT family protein binding
GO:0005483	soluble NSF attachment protein activity
GO:0052871	alpha-tocopherol omega-hydroxylase activity
GO:0052872	tocotrienol omega-hydroxylase activity
GO:0106153	phosphorylated histone binding
GO:0022832	voltage-gated channel activity
GO:0022889	serine transmembrane transporter activity
GO:0018025	calmodulin-lysine N-methyltransferase activity
GO:0097003	adipokinetic hormone receptor activity
GO:0097001	ceramide binding
GO:0097371	MDM2/MDM4 family protein binding
GO:0035485	adenine/guanine mispair binding
GO:0051879	Hsp90 protein binding
GO:0005135	interleukin-3 receptor binding
GO:0005134	interleukin-2 receptor binding
GO:0005137	interleukin-5 receptor binding
GO:0005136	interleukin-4 receptor binding
GO:0005131	growth hormone receptor binding
GO:0005130	granulocyte colony-stimulating factor receptor binding
GO:0005133	interferon-gamma receptor binding
GO:0005132	type I interferon receptor binding
GO:0005139	interleukin-7 receptor binding
GO:0005138	interleukin-6 receptor binding
GO:0052894	norspermine
GO:0052895	N1-acetylspermine
GO:0048495	Roundabout binding
GO:0047444	N-acylneuraminate-9-phosphate synthase activity
GO:0036456	L-methionine-(S)-S-oxide reductase activity
GO:0070891	lipoteichoic acid binding
GO:0047918	GDP-mannose 3,5-epimerase activity
GO:0004849	uridine kinase activity
GO:0047915	ganglioside galactosyltransferase activity
GO:0004844	uracil DNA N-glycosylase activity
GO:0004448	isocitrate dehydrogenase activity
GO:0004842	ubiquitin-protein transferase activity
GO:0004843	thiol-dependent ubiquitin-specific protease activity
GO:0030674	protein-macromolecule adaptor activity
GO:0050659	N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity
GO:0004536	deoxyribonuclease activity
GO:1902121	lithocholic acid binding
GO:0004534	5'-3' exoribonuclease activity
GO:0004535	poly(A)-specific ribonuclease activity
GO:0050656	3'-phosphoadenosine 5'-phosphosulfate binding
GO:0003948	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
GO:0004530	deoxyribonuclease I activity
GO:0039706	co-receptor binding
GO:0005001	transmembrane receptor protein tyrosine phosphatase activity
GO:0005000	vasopressin receptor activity
GO:0005003	ephrin receptor activity
GO:0005005	transmembrane-ephrin receptor activity
GO:0005004	GPI-linked ephrin receptor activity
GO:0005007	fibroblast growth factor-activated receptor activity
GO:0005006	epidermal growth factor-activated receptor activity
GO:0005009	insulin-activated receptor activity
GO:0005008	hepatocyte growth factor-activated receptor activity
GO:0002059	thymine binding
GO:0002058	uracil binding
GO:0005229	intracellular calcium activated chloride channel activity
GO:0005228	intracellular sodium activated potassium channel activity
GO:0008022	protein C-terminus binding
GO:0043855	cyclic nucleotide-gated ion channel activity
GO:0051120	hepoxilin A3 synthase activity
GO:0008028	monocarboxylic acid transmembrane transporter activity
GO:0005220	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity
GO:0005223	intracellular cGMP-activated cation channel activity
GO:0005222	intracellular cAMP-activated cation channel activity
GO:0005225	volume-sensitive anion channel activity
GO:0102294	cholesterol dehydrogenase activity
GO:0005227	calcium activated cation channel activity
GO:0031491	nucleosome binding
GO:0031490	chromatin DNA binding
GO:0031493	nucleosomal histone binding
GO:0031492	nucleosomal DNA binding
GO:0009000	selenocysteine lyase activity
GO:1902271	D3 vitamins binding
GO:0009008	DNA-methyltransferase activity
GO:1902379	chemoattractant activity involved in axon guidance
GO:0005234	extracellularly glutamate-gated ion channel activity
